n,scs_time,scs_evals,pogs_float_time,pogs_float_evals
100,0.060746638,1774,0.623732089996,1206
142,0.151538761,3128,1.43572092056,2466
206,0.256971044,4688,1.37929105759,2372
296,0.285226064,5736,1.98597097397,3410
428,0.346035244,4704,1.58557486534,2726
614,1.320708112,13328,2.07803201675,3207
884,0.243228884,2414,1.70183396339,2833
1274,0.898222364,7868,2.05285096169,3154
1832,2.878790212,12530,2.61655306816,3992
2636,3.249580521,8375,2.48846292496,3713
3792,3.7498859,9160,2.40480399132,3659
5454,4.633350429,6757,3.08443808556,4736
7846,6.054861264,6122,1.81652998924,2897
11288,4.958434148,3476,2.24629592896,3562
16236,10.503260973,6475,2.55646014214,3581
23356,17.646198221,4917,2.54693198204,3119
33598,18.390890666,3028,2.47340297699,3007
48328,14.730283362,2491,2.49671602249,2673
69518,41.511222679,3439,2.93853497505,2883
100000,23.523305967,4120,3.46044588089,4765
316226,281.014591045,4140,12.5435359478,4117
1000000,796.714291791,9994,17.0449671745,5946
3162276,XXX,XXX,199.400557041,6695
10000000,XXX,XXX,166.432283878,7046
