n,mat_free_scs_time,mat_free_scs_evals,mat_free_pogs_time,mat_free_pogs_evals
100,0.060746638,1774,0,0
142,0.151538761,3128,0,0
206,0.256971044,4688,0,0
296,0.285226064,5736,0,0
428,0.346035244,4704,0,0
614,1.320708112,13328,0,0
884,0.243228884,2414,0,0
1274,0.898222364,7868,0,0
1832,2.878790212,12530,0,0
2636,3.249580521,8375,0,0
3792,3.7498859,9160,0,0
5454,4.633350429,6757,0,0
7846,6.054861264,6122,0,0
11288,4.958434148,3476,0,0
16236,10.503260973,6475,0,0
23356,17.646198221,4917,0,0
33598,18.390890666,3028,0,0
48328,14.730283362,2491,0,0
69518,41.511222679,3439,0,0
100000,23.523305967,4120,0,0
316226,281.014591045,4140,0,0
1000000,796.714291791,9994,0,0
